sales,youtube,facebook,newspaper
20.4,256.08,29.52,15.72
10.44,20.28,52.44,107.28
8.28,33,1.92,24.84
17.04,144.6,34.2,17.04
6.36,6.48,35.88,11.28
13.2,139.2,9.24,27.72
14.16,91.68,32.04,26.76
14.76,287.76,4.92,44.28
13.56,90.36,24.36,39
16.32,82.08,53.4,42.72
26.04,256.2,51.6,40.56
18.24,231.84,22.08,78.84
14.4,91.56,33,19.2
19.2,132.84,48.72,75.84
15.48,105.96,30.6,88.08
20.04,131.76,57.36,61.68
13.44,161.16,5.88,11.16
8.76,34.32,1.8,39.6
23.28,261.24,40.2,70.8
26.64,301.08,43.8,86.76
13.8,128.88,16.8,13.08
20.28,195.96,37.92,63.48
14.04,237.12,4.2,7.08
18.6,221.88,25.2,26.4
30.48,347.64,50.76,61.44
20.64,162.24,50.04,55.08
14.04,266.88,5.16,59.76
28.56,355.68,43.56,121.08
17.76,336.24,12.12,25.68
17.64,225.48,20.64,21.48
24.84,285.84,41.16,6.36
23.04,165.48,55.68,70.8
8.64,30,13.2,35.64
10.44,108.48,0.36,27.84
6.36,15.72,0.48,30.72
23.76,306.48,32.28,6.6
16.08,270.96,9.84,67.8
26.16,290.04,45.6,27.84
16.92,210.84,18.48,2.88
19.08,251.52,24.72,12.84
17.52,93.84,56.16,41.4
15.12,90.12,42,63.24
14.64,167.04,17.16,30.72
11.28,91.68,0.96,17.76
19.08,150.84,44.28,95.04
7.92,23.28,19.2,26.76
18.6,169.56,32.16,55.44
8.4,22.56,26.04,60.48
13.92,268.8,2.88,18.72
18.24,147.72,41.52,14.88
23.64,275.4,38.76,89.04
12.72,104.64,14.16,31.08
7.92,9.36,46.68,60.72
10.56,96.24,1,11.04
29.64,264.36,58.8,3.84
11.64,71.52,14.4,51.72
1.92,0.84,47.52,10.44
15.24,318.24,3.48,51.6
6.84,10.08,32.64,2.52
23.52,263.76,40.2,54.12
12.96,44.28,46.32,78.72
13.92,57.96,56.4,10.2
11.4,30.72,46.8,11.16
24.96,328.44,34.68,71.64
11.52,51.6,31.08,24.6
24.84,221.88,52.68,2.04
13.08,88.08,20.4,15.48
23.04,232.44,42.48,90.72
24.12,264.6,39.84,45.48
12.48,125.52,6.84,41.28
13.68,115.44,17.76,46.68
12.36,168.36,2.28,10.8
15.84,288.12,8.76,10.44
30.48,291.84,58.8,53.16
13.08,45.6,48.36,14.28
12.12,53.64,30.96,24.72
19.32,336.84,16.68,44.4
13.92,145.2,10.08,58.44
19.92,237.12,27.96,17.04
22.8,205.56,47.64,45.24
18.72,225.36,25.32,11.4
3.84,4.92,13.92,6.84
18.36,112.68,52.2,60.6
12.12,179.76,1.56,29.16
8.76,14.04,44.28,54.24
15.48,158.04,22.08,41.52
17.28,207,21.72,36.84
15.96,102.84,42.96,59.16
17.88,226.08,21.72,30.72
21.6,196.2,44.16,8.88
14.28,140.64,17.64,6.48
14.28,281.4,4.08,101.76
9.6,21.48,45.12,25.92
14.64,248.16,6.24,23.28
20.52,258.48,28.32,69.12
18,341.16,12.72,7.68
10.08,60,13.92,22.08
17.4,197.4,25.08,56.88
9.12,23.52,24.12,20.4
14.04,202.08,8.52,15.36
13.8,266.88,4.08,15.72
32.4,332.28,58.68,50.16
24.24,298.08,36.24,24.36
14.04,204.24,9.36,42.24
14.16,332.04,2.76,28.44
15.12,198.72,12,21.12
12.6,187.92,3.12,9.96
14.64,262.2,6.48,32.88
10.44,67.44,6.84,35.64
31.44,345.12,51.6,86.16
21.12,304.56,25.56,36
27.12,246,54.12,23.52
12.36,167.4,2.52,31.92
20.76,229.32,34.44,21.84
19.08,343.2,16.68,4.44
8.04,22.44,14.52,28.08
12.96,47.4,49.32,6.96
11.88,90.6,12.96,7.2
7.08,20.64,4.92,37.92
23.52,200.16,50.4,4.32
20.76,179.64,42.72,7.2
9.12,45.84,4.44,16.56
11.64,113.04,5.88,9.72
15.36,212.4,11.16,7.68
30.6,340.32,50.4,79.44
16.08,278.52,10.32,10.44
